time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
32768,51,20.77,44.89,631,16,0.0322265625,0.14081507921218872,23.552938985824586,0.2,0.0003,12.42334270477295,-0.3469669971615076,150,-0.0077387928031384945,0.0029426473
34816,55,20.24,46.34,628,17,0.044482421875,0.17012107372283936,23.527971935272216,0.2,0.0003,11.065018653869629,-0.3434702467173338,160,-0.009611606772523373,0.0037358128
36864,58,20.11,40.29,630,18,0.03916015625,0.2249213457107544,23.162755155563353,0.2,0.0003,11.429457664489746,-0.3142300870269537,170,-0.010348206362687051,0.006093106
38912,61,20.28,40.95,631,19,0.046630859375,0.21067029237747192,22.094912600517272,0.2,0.0003,10.692673683166504,-0.322818535938859,180,-0.008922789583448321,0.0047729565
40960,65,20.7,45.33,629,20,0.0341796875,0.2314159870147705,20.28252191543579,0.2,0.0003,11.581104278564453,-0.29704831838607787,190,-0.009585892834002152,0.0043840897
43008,69,20.38,35.02,622,21,0.027734375,0.2611701488494873,20.979371666908264,0.2,0.0003,10.707759857177734,-0.29269018918275835,200,-0.007970957836369053,0.0026116862
45056,73,20.93,43.59,615,22,0.041455078125,0.2529924511909485,17.88491756916046,0.2,0.0003,9.474489212036133,-0.2996997177600861,210,-0.009461300808470696,0.004173718
47104,76,21.55,47.26,614,23,0.038623046875,0.3172405958175659,18.188285720348357,0.2,0.0003,9.094232559204102,-0.28240694627165797,220,-0.009174996466026642,0.0035979259
49152,79,19.98,43.82,616,24,0.035302734375,0.3384159207344055,19.16893799304962,0.2,0.0003,10.1741304397583,-0.2773727118968964,230,-0.008653888848493807,0.0035940963
51200,83,20.81,49.17,610,25,0.02734375,0.40586286783218384,18.158990001678468,0.2,0.0003,8.699324607849121,-0.2780813343822956,240,-0.00850032018206548,0.0031856273
53248,87,19.47,43.53,608,26,0.03994140625,0.4136306643486023,18.064591813087464,0.2,0.0003,8.11798095703125,-0.272257879935205,250,-0.011788101738784463,0.0051318575
55296,90,20.12,46.05,610,27,0.035888671875,0.4385795593261719,15.929828882217407,0.2,0.0003,7.517996788024902,-0.27154252771288157,260,-0.009383958898251877,0.003873073
57344,93,20.62,50.34,610,28,0.041552734375,0.4567829370498657,15.830072009563446,0.2,0.0003,8.031709671020508,-0.2626426972448826,270,-0.010387461321079173,0.0029907
59392,97,20.74,48.05,608,29,0.037158203125,0.44186675548553467,17.055635571479797,0.2,0.0003,8.07146167755127,-0.2522859236225486,280,-0.011555597602273338,0.0037750509
61440,102,20.46,50.03,601,30,0.034033203125,0.43786317110061646,15.730683314800263,0.2,0.0003,8.085564613342285,-0.26872839909046886,290,-0.01028257202124223,0.0028270944
63488,105,20.03,48.6,601,31,0.0572265625,0.518484354019165,14.76739730834961,0.2,0.0003,7.130624294281006,-0.27167653702199457,300,-0.014113609137712046,0.006535414
65536,108,20.34,44.39,602,32,0.039208984375,0.47110116481781006,15.431851196289063,0.2,0.0003,8.050827026367188,-0.2517553811892867,310,-0.01115371398627758,0.0038404139
67584,112,20.55,54.78,603,33,0.04677734375,0.4143074154853821,14.57827877998352,0.2,0.0003,7.023552894592285,-0.277899806573987,320,-0.013640014320844784,0.0049569933
69632,116,21.24,54.21,598,34,0.0451171875,0.47366684675216675,15.471906971931457,0.2,0.0003,6.789021015167236,-0.2625830817967653,330,-0.014947664277860895,0.0060761054
71680,119,21.03,57.49,599,35,0.048486328125,0.49279844760894775,14.610315501689911,0.2,0.0003,5.518086910247803,-0.2656472034752369,340,-0.01377621436258778,0.0050052674
73728,122,19.91,52.59,600,36,0.053466796875,0.525668740272522,14.321598613262177,0.2,0.0003,7.515608787536621,-0.27694297712296245,350,-0.014682639751117676,0.006871483
