time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_fraction,train/explained_variance,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl
32768,56,45.44,26.43,583,16,0.079052734375,0.2964973449707031,163.2386778831482,0.2,0.0003,69.63005828857422,-0.8876716256141662,150,-0.01565113399119582,0.010294604
34816,60,42.8,28.59,575,17,0.038671875,0.11830544471740723,164.34224576950072,0.2,0.0003,74.0708236694336,-0.8310710415244102,160,-0.0096761923719896,0.0056055104
36864,63,39.79,31.95,580,18,0.063330078125,0.18853133916854858,154.3128451347351,0.2,0.0003,69.00440216064453,-0.7345665872097016,170,-0.01246935857925564,0.0068951254
38912,67,39.83,31.41,575,19,0.05419921875,0.16753071546554565,152.54886350631713,0.2,0.0003,69.8017578125,-0.7257946744561196,180,-0.012717232049908489,0.006024929
40960,71,40.22,30.07,574,20,0.05771484375,0.39100784063339233,134.1758239746094,0.2,0.0003,70.15788269042969,-0.7192840270698071,190,-0.010076702295918949,0.0074620675
43008,73,40.64,39.68,581,21,0.06826171875,0.32911163568496704,146.01136856079103,0.2,0.0003,69.83087158203125,-0.6374992020428181,200,-0.010858563060173765,0.006810389
45056,76,38.17,40.63,585,22,0.04892578125,0.43603527545928955,159.23486251831054,0.2,0.0003,76.79786682128906,-0.5984625831246376,210,-0.008110700233373791,0.005883401
47104,79,38.2,39.66,592,23,0.02841796875,0.35475635528564453,155.5818078994751,0.2,0.0003,70.1198501586914,-0.5680787838995457,220,-0.005696501632337458,0.0032423055
49152,83,40.34,45.2,591,24,0.0359375,0.5818208456039429,117.92799367904664,0.2,0.0003,53.036460876464844,-0.5662168614566326,230,-0.00823650416568853,0.004711899
51200,87,44.7,47.46,587,25,0.034228515625,0.5335663557052612,156.11271286010742,0.2,0.0003,69.34757232666016,-0.5386918477714062,240,-0.006846233989926986,0.003989034
53248,89,42.67,42.8,591,26,0.058837890625,0.6588927507400513,138.7862811088562,0.2,0.0003,72.88301849365234,-0.5653163067996502,250,-0.009365832520416006,0.005336102
55296,92,39.41,42.01,596,27,0.039453125,0.5456749200820923,123.64021234512329,0.2,0.0003,56.36759948730469,-0.5016272775828838,260,-0.006916186143644154,0.004121893
57344,95,38.92,46.24,600,28,0.02373046875,0.6266545057296753,149.26299476623535,0.2,0.0003,73.87471771240234,-0.5040828611701726,270,-0.00632132226601243,0.0032074633
59392,98,39.55,48.38,604,29,0.04091796875,0.5089219808578491,128.33214015960692,0.2,0.0003,58.019073486328125,-0.4605406068265438,280,-0.007115900587814394,0.004667472
61440,101,39.55,47.28,604,30,0.032763671875,0.6429336071014404,131.50019903182982,0.2,0.0003,60.10040283203125,-0.44351600892841814,290,-0.0060078865004470575,0.0038672478
63488,104,39.9,45.94,606,31,0.0224609375,0.5712579488754272,144.17536687850952,0.2,0.0003,71.20074462890625,-0.4057977296411991,300,-0.00515886647044681,0.0028319727
65536,107,40.58,47.95,610,32,0.052294921875,0.709702730178833,97.04779872894287,0.2,0.0003,44.92644500732422,-0.4460035338997841,310,-0.008874704217305407,0.004567981
67584,109,40.49,50.55,614,33,0.0328125,0.6164915561676025,131.07003993988036,0.2,0.0003,62.70104217529297,-0.4242016948759556,320,-0.005939978634705767,0.003350657
69632,112,37.26,46.92,618,34,0.0279296875,0.6100002527236938,106.34383583068848,0.2,0.0003,42.82807159423828,-0.36457728780806065,330,-0.005171400486142374,0.0028766857
71680,115,37.1,44.74,620,35,0.036572265625,0.6523494720458984,139.10610408782958,0.2,0.0003,65.44788360595703,-0.40645008012652395,340,-0.007020779111189768,0.0036843251
73728,119,39.2,43.14,619,36,0.032666015625,0.7280275821685791,112.22177925109864,0.2,0.0003,61.91537094116211,-0.44459540769457817,350,-0.006155157089233398,0.0036517072
75776,121,37.63,44.46,623,37,0.016259765625,0.7135685682296753,97.85860948562622,0.2,0.0003,49.70165252685547,-0.4139720033854246,360,-0.0034012552292551844,0.0016867532
77824,124,41.08,46.69,626,38,0.03330078125,0.6763031482696533,102.58222160339355,0.2,0.0003,51.2853889465332,-0.3529111471027136,370,-0.006068835250334814,0.0038540328
79872,126,41.68,47.73,630,39,0.04912109375,0.6302940845489502,98.36248655319214,0.2,0.0003,42.03834915161133,-0.37649864330887794,380,-0.0066698154871119185,0.0046623284
81920,129,40.5,49.74,633,40,0.026025390625,0.7011928558349609,93.14835977554321,0.2,0.0003,44.14747619628906,-0.32322133965790273,390,-0.004268770184717141,0.0026100036
83968,132,42.15,54.27,633,41,0.027294921875,0.6657347679138184,100.13499355316162,0.2,0.0003,56.872779846191406,-0.34131558761000635,400,-0.005017456950736232,0.0035929573
86016,135,43.14,51.88,633,42,0.023974609375,0.7541925311088562,88.9878716468811,0.2,0.0003,44.43031311035156,-0.3329829562455416,410,-0.0043373071413952856,0.002650975
88064,138,43.49,50.32,635,43,0.025244140625,0.724219560623169,95.09166011810302,0.2,0.0003,45.93040084838867,-0.3713281899690628,420,-0.005873782490380108,0.0033735086
90112,141,39.24,50.61,638,44,0.02607421875,0.7154790163040161,94.41046915054321,0.2,0.0003,52.57490158081055,-0.33552741520106794,430,-0.004792299115797505,0.0025673825
92160,144,39.47,55.3,637,45,0.038671875,0.7262144088745117,104.53998756408691,0.2,0.0003,53.43589401245117,-0.3507279515266418,440,-0.006347445899154991,0.0033830968
94208,147,41.9,59.7,638,46,0.03720703125,0.7140491008758545,82.18872938156127,0.2,0.0003,39.610626220703125,-0.3113851252943277,450,-0.006146549500408582,0.00408178
96256,150,42.75,57.16,637,47,0.0345703125,0.6785590648651123,115.08391160964966,0.2,0.0003,49.41945266723633,-0.29807460606098174,460,-0.006299148703692481,0.00405539
98304,153,43.74,57.3,639,48,0.03359375,0.7230449914932251,100.76064128875733,0.2,0.0003,46.522464752197266,-0.32872210144996644,470,-0.0057922182226320725,0.003370067
100352,156,38.95,53.5,641,49,0.0119140625,0.6726641654968262,139.23727369308472,0.2,0.0003,61.974998474121094,-0.2921359285712242,480,-0.0029948317125672473,0.0018291501
